release_note_date,smushed_event_type,format_event_type,legacy_event_types,admin_interest,security_interest,event_type_description,event_type_tags
2016.14,appoauth2asauthorizecode,app.oauth2.as.authorize.code,app.oauth2.as.authorize.code_success,0,0,OAuth2 authorization code request.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asauthorizeimplicitaccesstoken,app.oauth2.as.authorize.implicit.access_token,app.oauth2.as.authorize.implicit.access_token_success,0,0,OAuth2 authorization implicit access token request.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asauthorizeimplicitidtoken,app.oauth2.as.authorize.implicit.id_token,app.oauth2.as.authorize.implicit.id_token_success,0,0,OAuth2 authorization implicit ID token request.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asauthorizescopedenied,app.oauth2.as.authorize.scope_denied,app.oauth2.as.authorize.scope_denied_failure,0,0,Some of the requested scopes were denied by the policy.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentgrant,app.oauth2.as.consent.grant,app.oauth2.as.consent.grant_failure|app.oauth2.as.consent.grant_success,0,0,User granted consent to app.,event-hook-eligible|oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevoke,app.oauth2.as.consent.revoke,app.oauth2.as.consent.revoke_failure|app.oauth2.as.consent.revoke_success,0,0,Consent revoked.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeimplicitas,app.oauth2.as.consent.revoke.implicit.as,app.oauth2.as.consent.revoke.implicit.as_success,0,0,All consent revoked for authorization server.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeimplicitclient,app.oauth2.as.consent.revoke.implicit.client,app.oauth2.as.consent.revoke.implicit.client_success,0,0,All consent revoked for client.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeimplicitscope,app.oauth2.as.consent.revoke.implicit.scope,app.oauth2.as.consent.revoke.implicit.scope_success,0,0,All consent revoked for scope.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeimplicituser,app.oauth2.as.consent.revoke.implicit.user,app.oauth2.as.consent.revoke.implicit.user_success,0,0,Consent for all scopes revoked for user.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeuser,app.oauth2.as.consent.revoke.user,app.oauth2.as.consent.revoke.user_failure|app.oauth2.as.consent.revoke.user_success,0,0,All consent revoked for user.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asconsentrevokeuserclient,app.oauth2.as.consent.revoke.user.client,app.oauth2.as.consent.revoke.user.client_failure|app.oauth2.as.consent.revoke.user.client_success,0,0,User consent revoked for client.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asevaluateclaim,app.oauth2.as.evaluate.claim,app.oauth2.as.evaluate.claim_failure,0,0,Claim evaluation for OAuth2 token.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2asinteractinteractioncode,app.oauth2.as.interact.interaction_code,app.oauth2.as.interact.interaction_code,1,0,Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation and troubleshoot why the IdX transaction has failed. When fired this event contains hashed values of the interaction_code and interaction_handle as well as information about the client to which they were issued.,oauth2|oauth2-as-runtime|oauth2-custom-as
2021.01.0,appoauth2asinteractinteractionhandle,app.oauth2.as.interact.interaction_handle,app.oauth2.as.interact.interaction_handle,1,0,Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.,oauth2|oauth2-as-runtime|oauth2-custom-as
2021.01.0,appoauth2askeyrollover,app.oauth2.as.key.rollover,app.oauth2.as.key.rollover.legacy,0,0,Custom Authorization Server token signing key rolled over.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2astokendetectreuse,app.oauth2.as.token.detect_reuse,app.oauth2.as.token.detect_reuse,1,0,Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user client to which the refresh token was minted and the hash of the refresh tokens.,oauth2|oauth2-as-runtime|oauth2-custom-as
2020.09.3,appoauth2astokengrant,app.oauth2.as.token.grant,app.oauth2.as.token.grant_failure,0,0,OAuth2 token request.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2astokengrantaccesstoken,app.oauth2.as.token.grant.access_token,app.oauth2.as.token.grant.access_token_success,0,0,OAuth2 access token is granted.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2astokengrantdevicesecret,app.oauth2.as.token.grant.device_secret,app.oauth2.as.token.grant.device_secret_success,0,0,Grant an OAuth2 device_secret for the Native SSO flow. This event adds tracking to let admins know when Native SSO is being used to protect desktop or mobile apps. When fired this event contains the device secret id which administrators can use to correlate with single logout events across native desktop apps.,oauth2|oauth2-as-runtime|oauth2-custom-as
2021.04.2,appoauth2astokengrantidtoken,app.oauth2.as.token.grant.id_token,app.oauth2.as.token.grant.id_token_success,0,0,OAuth2 id token is granted.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2astokengrantrefreshtoken,app.oauth2.as.token.grant.refresh_token,app.oauth2.as.token.grant.refresh_token_success,0,0,OAuth2 refresh token is granted.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2astokenrevoke,app.oauth2.as.token.revoke,app.oauth2.as.token.revoke_failure|app.oauth2.as.token.revoke_success,0,0,OAuth2 token revocation request.,oauth2|oauth2-as-runtime|oauth2-custom-as
2016.14,appoauth2authorize,app.oauth2.authorize,app.oauth2.authorize_failure,0,0,OIDC authorization request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2authorizecode,app.oauth2.authorize.code,app.oauth2.authorize.code_success,0,0,OIDC authorization code request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2authorizeimplicitaccesstoken,app.oauth2.authorize.implicit.access_token,app.oauth2.authorize.implicit.access_token_success,0,0,OIDC authorization implicit access token request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2authorizeimplicitidtoken,app.oauth2.authorize.implicit.id_token,app.oauth2.authorize.implicit.id_token_success,0,0,OIDC authorization implicit ID token request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2clientlifecycleactivate,app.oauth2.client.lifecycle.activate,app.oauth2.client.lifecycle.activate,0,0,Activate OAuth client.,oauth2|oauth2-client|oauth2-client-lifecycle
2017.24,appoauth2clientlifecyclecreate,app.oauth2.client.lifecycle.create,app.oauth2.client.lifecycle.create,0,0,Create OAuth client.,oauth2|oauth2-client|oauth2-client-lifecycle
2017.24,appoauth2clientlifecycledeactivate,app.oauth2.client.lifecycle.deactivate,app.oauth2.client.lifecycle.deactivate,0,0,Deactivate OAuth client.,oauth2|oauth2-client|oauth2-client-lifecycle
2017.24,appoauth2clientlifecycledelete,app.oauth2.client.lifecycle.delete,app.oauth2.client.lifecycle.delete,0,0,Delete OAuth client.,oauth2|oauth2-client|oauth2-client-lifecycle
2017.24,appoauth2clientlifecycleupdate,app.oauth2.client.lifecycle.update,app.oauth2.client.lifecycle.update,0,0,Update OAuth client.,oauth2|oauth2-client|oauth2-client-lifecycle
2017.24,appoauth2clientidratelimitwarning,app.oauth2.client_id_rate_limit_warning,app.oauth2.client_id_rate_limit_warning,1,0,Fired when requests from a single client id has consumed majority of an org's rate limit on the OAuth2 endpoint. This event can be used by admins to discover and deactivate a rogue client. The admin is able to manage the client via the Syslog UI. When fired this event contains information about the responsible client id. As of release this event is fired when a single client id consumes 90% of an org's OAuth2 rate limit; this threshold is subject to change.,oauth2|oauth2-client
2019.04.2,appoauth2consentgrant,app.oauth2.consent.grant,app.oauth2.consent.grant,0,0,User granted consent to app. This event can be used to identify the org AS consent grant. When fired the event contains information about the successful consent grant by org AS.,oauth2|oauth2-as-runtime|oauth2-org-as
2021.10.2,appoauth2interactinteractioncode,app.oauth2.interact.interaction_code,app.oauth2.consent.grant,1,0,Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation and troubleshoot why the IdX transaction has failed. When fired this event contains hashed values of the interaction_code and interaction_handle as well as information about the client to which they were issued.,oauth2|oauth2-as-runtime|oauth2-org-as
2021.01.0,appoauth2interactinteractionhandle,app.oauth2.interact.interaction_handle,app.oauth2.consent.grant,1,0,Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.,oauth2|oauth2-as-runtime|oauth2-org-as
2021.01.0,appoauth2invalidclientcredentials,app.oauth2.invalid_client_credentials,app.oauth2.invalid_client_credentials_failure,0,0,Multiple requests with invalid client credentials for client id.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2invalidclientids,app.oauth2.invalid_client_ids,app.oauth2.invalid_client_ids_failure,0,0,Multiple requests with invalid client ids.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2keyrollover,app.oauth2.key.rollover,app.oauth2.key.rollover.legacy,0,0,Org Authorization Server token signing key rolled over.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2signon,app.oauth2.signon,app.oauth2.signon_failure|app.oauth2.signon_success,0,0,User performed OIDC single sign on to app.,oauth2|oauth2-client
2016.14,appoauth2tokendetectreuse,app.oauth2.token.detect_reuse,app.oauth2.token.detect_reuse,1,0,Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user client to which the refresh token was minted and the hash of the refresh tokens.,oauth2|oauth2-as-runtime|oauth2-org-as
2020.09.3,appoauth2tokengrant,app.oauth2.token.grant,app.oauth2.token.grant_failure,0,0,OIDC token request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokengrantaccesstoken,app.oauth2.token.grant.access_token,app.oauth2.token.grant.access_token_success,0,0,OIDC access token is granted.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokengrantidtoken,app.oauth2.token.grant.id_token,app.oauth2.token.grant.id_token_success,0,0,OIDC id token is granted.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokengrantrefreshtoken,app.oauth2.token.grant.refresh_token,app.oauth2.token.grant.refresh_token_success,0,0,OIDC refresh token is granted.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokenrevoke,app.oauth2.token.revoke,app.oauth2.token.revoke_failure|app.oauth2.token.revoke_success,0,0,OIDC token revocation request.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokenrevokeimplicitas,app.oauth2.token.revoke.implicit.as,app.oauth2.token.revoke.implicit.as_success,0,0,Tokens revoked for authorization server.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokenrevokeimplicitclient,app.oauth2.token.revoke.implicit.client,app.oauth2.token.revoke.implicit.client_success,0,0,Tokens revoked for client.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoauth2tokenrevokeimplicituser,app.oauth2.token.revoke.implicit.user,app.oauth2.token.revoke.implicit.user_success,0,0,Tokens revoked for user.,oauth2|oauth2-as-runtime|oauth2-org-as
2016.14,appoffice365apichangedomainfederationsuccess,app.office365.api.change.domain.federation.success,app.office365.api.change.domain.federation.success,0,0,Successfully updated the domain federation from old settings to new settings.,app|office365-app
2017.01,appoffice365apierroraduser,app.office365.api.error.ad.user,app.office365.api.error.ad.user,0,0,User is assigned to more than one instance of Active Directory could not set Immutable ID.,app|office365-app
2017.01,appoffice365apierrorcheckuserexists,app.office365.api.error.check.user.exists,app.office365.api.error.check.user.exists,0,0,Could not determine status of Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrorcreateuser,app.office365.api.error.create.user,app.office365.api.error.create.user,0,0,Could not create user in Office 365 received error.,app|office365-app
2017.01,appoffice365apierrordeactivateuser,app.office365.api.error.deactivate.user,app.office365.api.error.deactivate.user,0,0,Could not deactivate Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrordownloadcustomobjects,app.office365.api.error.download.custom.objects,app.office365.api.error.download.custom.objects,0,0,Could not download group/role/license data for your Office 365 instance received error.,app|office365-app
2017.01,appoffice365apierrordownloadgroups,app.office365.api.error.download.groups,app.office365.api.error.download.groups,0,0,Could not download all groups from your Office 365 instance received error.,app|office365-app
2017.01,appoffice365apierrordownloadusers,app.office365.api.error.download.users,app.office365.api.error.download.users,0,0,Could not download all users from your Office 365 instance received error.,app|office365-app
2017.01,appoffice365apierrorendpointunavailable,app.office365.api.error.endpoint.unavailable,app.office365.api.error.endpoint.unavailable,0,0,Unable to reach the Office 365 endpoint.,app|office365-app
2017.01,appoffice365apierrorgetcompanydirsyncfailure,app.office365.api.error.get.company.dirsync.failure,app.office365.api.error.get.company.dirsync.failure,0,0,Unable to read Office 365 directory sync for the company received error.,app|office365-app
2017.01,appoffice365apierrorgetcompanydirsyncstatusfailure,app.office365.api.error.get.company.dirsync.status.failure,app.office365.api.error.get.company.dirsync.status.failure,0,0,Unable to provision user to Office 365 because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated and retry.,app|office365-app
2017.01,appoffice365apierrorgetcompanydirsyncstatuspending,app.office365.api.error.get.company.dirsync.status.pending,app.office365.api.error.get.company.dirsync.status.pending,0,0,Unable to provision user to Office 365 because 'Directory Sync' value in Azure Active Directory not yet in Activated state. This may take up to 72 hours. Please visit the Azure Active Directory portal and retry when in Activated state.,app|office365-app
2017.01,appoffice365apierrorgetobjectidsbygroupid,app.office365.api.error.get.object.ids.by.group.id,app.office365.api.error.get.object.ids.by.group.id,0,0,Could not get users by group id from your Office 365 instance received error.,office365-app
2018.37,appoffice365apierrorgroupcreatefailure,app.office365.api.error.group.create.failure,app.office365.api.error.group.create.failure,0,0,Could not create Office 365 group received error.,app|office365-app
2017.01,appoffice365apierrorgroupcreatefailurenameinuse,app.office365.api.error.group.create.failure.name.in.use,app.office365.api.error.group.create.failure.name.in.use,0,0,Could not create Office 365 group because the name is already in use received error.,app|office365-app
2017.01,appoffice365apierrorgroupdeletefailure,app.office365.api.error.group.delete.failure,app.office365.api.error.group.delete.failure,0,0,Could not delete Office 365 group received error.,app|office365-app
2017.01,appoffice365apierrorgroupmembershipupdateassignmentfailure,app.office365.api.error.group.membership.update.assignment.failure,app.office365.api.error.group.membership.update.assignment.failure,0,0,Could not update the Office 365 group membership because of an error assigning a user to the group received error.,app|office365-app
2017.01,appoffice365apierrorgroupmembershipupdatefailure,app.office365.api.error.group.membership.update.failure,app.office365.api.error.group.membership.update.failure,0,0,Could not update the Office 365 group membership received error.,app|office365-app
2017.01,appoffice365apierrorgroupmembershipupdategroupnotfoundfailure,app.office365.api.error.group.membership.update.group.not.found.failure,app.office365.api.error.group.membership.update.group.not.found.failure,0,0,Could not update the Office 365 group membership because the group could not be found received error.,app|office365-app
2017.01,appoffice365apierrorgroupmembershipupdateremovalfailure,app.office365.api.error.group.membership.update.removal.failure,app.office365.api.error.group.membership.update.removal.failure,0,0,Could not update the Office 365 group membership because of an error removing a user from the group received error.,app|office365-app
2017.01,appoffice365apierrorgroupupdatefailure,app.office365.api.error.group.update.failure,app.office365.api.error.group.update.failure,0,0,Could not update Office 365 group received error.,app|office365-app
2017.01,appoffice365apierrorgroupupdatefailurenotfound,app.office365.api.error.group.update.failure.not.found,app.office365.api.error.group.update.failure.not.found,0,0,Could not update Office 365 group because it was not found received error.,app|office365-app
2017.01,appoffice365apierrorimportprofile,app.office365.api.error.import.profile,app.office365.api.error.import.profile,0,0,Could not import profile for Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrornoendpointsfound,app.office365.api.error.no.endpoints.found,app.office365.api.error.no.endpoints.found,0,0,No Office 365 endpoint found to send our request.,app|office365-app
2017.01,appoffice365apierrorpushpassword,app.office365.api.error.push.password,app.office365.api.error.push.password,0,0,Could not push password for Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrorpushprofile,app.office365.api.error.push.profile,app.office365.api.error.push.profile,0,0,Could not push profile for Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrorreactivateuser,app.office365.api.error.reactivate.user,app.office365.api.error.reactivate.user,0,0,Could not reactivate Office 365 user received error.,app|office365-app
2017.01,appoffice365apierrorremovedomainfederationfailure,app.office365.api.error.remove.domain.federation.failure,app.office365.api.error.remove.domain.federation.failure,0,0,Unable to remove the domain federation received error.,app|office365-app
2017.01,appoffice365apierrorremovedomainfederationfailureaccessdenied,app.office365.api.error.remove.domain.federation.failure.access.denied,app.office365.api.error.remove.domain.federation.failure.access.denied,1,0,Unable to remove the domain federation because the admin user is not authorized to perform the task.,app|office365-app
2017.01,appoffice365apierrorremovedomainfederationfailuredomainnotfound,app.office365.api.error.remove.domain.federation.failure.domain.not.found,app.office365.api.error.remove.domain.federation.failure.domain.not.found,0,0,Unable to remove the domain federation because the specified domain was not found.,app|office365-app
2017.01,appoffice365apierrorrevokerefreshtoken,app.office365.api.error.revoke.refresh.token,app.office365.api.error.revoke.refresh.token,0,0,Failed to revoke refresh tokens for user.,app|office365-app
2017.01,appoffice365apierrorsetcompanydirsyncfailure,app.office365.api.error.set.company.dirsync.failure,app.office365.api.error.set.company.dirsync.failure,0,0,Unable to enable Office 365 directory sync for the company received error.,app|office365-app
2017.01,appoffice365apierrorsetcompanydirsyncstatusfailure,app.office365.api.error.set.company.dirsync.status.failure,app.office365.api.error.set.company.dirsync.status.failure,0,0,Unable to enable Office 365 directory sync for the company because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated.,app|office365-app
2017.01,appoffice365apierrorsetdomainfederationfailure,app.office365.api.error.set.domain.federation.failure,app.office365.api.error.set.domain.federation.failure,0,0,Unable to setup the domain federation received error.,app|office365-app
2017.01,appoffice365apierrorsetdomainfederationfailureaccessdenied,app.office365.api.error.set.domain.federation.failure.access.denied,app.office365.api.error.set.domain.federation.failure.access.denied,0,0,Unable to setup the domain federation because the admin user is not authorized to perform the task.,app|office365-app
2017.01,appoffice365apierrorsetdomainfederationfailuredomaindefault,app.office365.api.error.set.domain.federation.failure.domain.default,app.office365.api.error.set.domain.federation.failure.domain.default,0,0,Unable to setup the domain federation because the specified domain is the default domain.,app|office365-app
2017.01,appoffice365apierrorsetdomainfederationfailuredomainnotfound,app.office365.api.error.set.domain.federation.failure.domain.not.found,app.office365.api.error.set.domain.federation.failure.domain.not.found,0,0,Unable to setup the domain federation because the specified domain was not found.,app|office365-app
2017.01,appoffice365apierrorsynccontact,app.office365.api.error.sync.contact,app.office365.api.error.sync.contact,0,0,Failed to sync contact received error.,app|office365-app
2017.01,appoffice365apierrorsyncfinalize,app.office365.api.error.sync.finalize,app.office365.api.error.sync.finalize,0,0,Failed to finalize export to Office 365 received error.,app|office365-app
2017.01,appoffice365apierrorsyncgroup,app.office365.api.error.sync.group,app.office365.api.error.sync.group,0,0,Failed to sync group received error.,app|office365-app
2017.01,appoffice365apierrorsyncnotactivated,app.office365.api.error.sync.not.activated,app.office365.api.error.sync.not.activated,0,0,Sync could not execute because Office 365 directory sync for the company not yet Activated. Sync will retry after a period of time.,app|office365-app
2017.01,appoffice365apierrorsyncsetattribute,app.office365.api.error.sync.set.attribute,app.office365.api.error.sync.set.attribute,0,0,Failed to set attribute received error.,app|office365-app
2017.01,appoffice365apierrorsyncuser,app.office365.api.error.sync.user,app.office365.api.error.sync.user,0,0,Failed to sync user received error.,app|office365-app
2017.01,appoffice365apierrorunabletocreategraphclient,app.office365.api.error.unable.to.create.graph.client,app.office365.api.error.unable.to.create.graph.client,0,0,An error occurred while creating the Azure Active Directory Graph API client. Please try the last operation again. If this error persists please contact Okta support.,app|office365-app
2017.01,appoffice365apierrorvalidateadmincreds,app.office365.api.error.validate.admin.creds,app.office365.api.error.validate.admin.creds,0,0,User does not have the Company Administrator role. Please try again with a user which has this role.,app|office365-app
2017.01,appoffice365apierrorvalidatecreds,app.office365.api.error.validate.creds,app.office365.api.error.validate.creds,0,0,Could not validate your Office 365 credentials received error.,app|office365-app
2017.01,appoffice365apierrorvalidatecredsunknownexception,app.office365.api.error.validate.creds.unknown.exception,app.office365.api.error.validate.creds.unknown.exception,0,0,Could not communicate with Office 365 to validate your credentials received error.,app|office365-app
2017.01,appoffice365apierrorx-ms-forwarded-client-ip-headerabsent,app.office365.api.error.x-ms-forwarded-client-ip-header.absent,app.office365.api.error.x-ms-forwarded-client-ip-header.absent,0,0,X-MS-Forwarded-Client-IP header either empty or not found in the request.,app|office365-app
2017.01,appoffice365apiremovedomainfederationsuccess,app.office365.api.remove.domain.federation.success,app.office365.api.remove.domain.federation.success,1,0,Successfully removed the domain federation.,app|office365-app
2017.01,appoffice365apisetdomainfederationsuccess,app.office365.api.set.domain.federation.success,app.office365.api.set.domain.federation.success,1,0,Successfully set up the domain federation with new settings.,app|office365-app
2017.01,appoffice365apisynccomplete,app.office365.api.sync.complete,app.office365.api.sync.complete,0,0,User sync completed.,app|office365-app
2017.01,appoffice365apisyncheartbeatsent,app.office365.api.sync.heartbeat.sent,app.office365.api.sync.heartbeat.sent,0,0,Heartbeat sent to Microsoft Azure Active Directory.,app|office365-app
2017.01,appoffice365apisyncjobcomplete,app.office365.api.sync.job.complete,app.office365.api.sync.job.complete,0,0,Sync job completed.,app|office365-app
